OBJECTID	ADDRESS	CROSSST	SITEDETAIL	SPACELENG	STSIDE	CURBQUAL	POSTID	LASTFIELDC	MTAB_DATE	MTAB_MOTION	GLOBALID	MTAB_RESO_TEXT	shape	Neighborhoods	SF Find Neighborhoods	Current Police Districts	Current Supervisor Districts	Analysis Neighborhoods
823	1520 Wester St	Geary Blvd	Webster Street, east side, from 24 feet to 46 feet north of Geary Boulevard	20			#1504		20180904000000	180904-122		ESTABLISH – BLUE ZONE –  Webster Street, east side, from 24 feet to 46 feet north of Geary Boulevard (rescinds metered parking space #1504)	POINT (-122.43111 37.784916)	101	101	4	11	15
604	BEALE ST	Bryant	SE corner of intersection	0	NE		816-05590	20110324000000					POINT (-122.38869 37.785572)	31	31	1	10	8
76	6 Oak St	Van Ness	17' to 42' west of Van Ness - diagonal	25	N	good		19920526000000					POINT (-122.419624 37.77546)	21	21	4	11	9
772				0									POINT (-122.3956 37.781364)	31	31	1	10	8
197	2001 37th Ave	Pacheco	2' north to 30' south of the south side of chapel	32	W								POINT (-122.49549 37.748474)	39	39	10	7	35
601	POINT LOBOS AVE	43rd AVe	SE corner of intersection	0	S		763-00400	20110324000000					POINT (-122.50374 37.77953)	6	6	8	4	29
23	461 6th Ave	Anza	252' to 272' north of Anza	20	W	good		19920413000000					POINT (-122.46426 37.77984)	5	5	8	4	11
488				0									POINT (-122.38807 37.78692)	31	31	1	10	8
349				0									POINT (-122.466034 37.772694)	9	9	8	4	12
574	100 New Montgomery	Minna Street	west side, from 2 feet to 22 feet south of Minna Street (enacted 4/1/2014)	20	West								POINT (-122.39997 37.786945)	32	32	1	10	8
284				0									POINT (-122.399666 37.787807)	32	32	1	10	8
419	389 Parnassus Av	Arguello	2' to 44' east of the driveway	42									POINT (-122.45737 37.763535)	110	110	7	8	14
131	99 Dorland St	Dolores	0' to 18' east of Dolores	18	S	good		19961011000000					POINT (-122.42583 37.76218)	37	37	3	5	20
764	Olive Street & Van Ness Avenue	Van Ness Avenue	from 6 feet to 24 feet east of Van Ness Avenue (enacted 3/3/2015)	18	South								POINT (-122.420784 37.784306)	20	20	4	10	36
2	2699 Bush St	Broderick	Broderick to 18' east	18	S								POINT (-122.441536 37.78592)	103	103	8	6	30
95	145 Guerrero St	Brosnan	10' to 32' north Brosnan	22	E	good		19920421000000					POINT (-122.42436 37.768753)	37	37	3	5	20
449	1434 Polk St	California	8' to 30' south of California	22	W								POINT (-122.420715 37.79037)	105	105	4	3	21
813	"""980"" Hyde St"	Bush	east side, from 30 feet to 70 feet north of Bush Street.	40	east								POINT (-122.416954 37.78936)	50	50	6	3	21
27	499 7th St	Harrison	10' to 28' north of Harrison	18	E	good		19950913000000					POINT (-122.40656 37.775856)	32	32	1	10	34
668				0									POINT (-122.43304 37.80128)	17	17	4	6	13
272	Grove			0									POINT (-122.42042 37.77809)	21	21	4	11	9
718	995 Page Street	Divisadero Street	“995” Page Street, south side, from Divisadero Street to 20 feet easterly (20-foot zone). (enacted 9/6/2016)	20	S								POINT (-122.437035 37.77217)	26	26	4	11	3
731	2 California St	Drumm	15' to 36' west of Drumm	21	N	good		19960320000000					POINT (-122.396675 37.793697)	108	108	6	3	8
628	225 30th St	Dolores	35' to 55' west of the east property line	20	S	good							POINT (-122.425 37.74209)	59	59	9	5	10
332				0									POINT (-122.458824 37.76839)	9	9	7	11	12
224				0									POINT (-122.38771 37.74664)	56	56	2	9	1
256	3801 Sacramento St	Maple	9' to 53' west of east property line	44	S								POINT (-122.45543 37.787056)	10	10	8	6	31
639				0									POINT (-122.39822 37.776264)	32	32	1	10	34
582	100 Austin Street	Van Ness Avenue	from 9 feet to 27 feet east of Van Ness Avenue (100 Block) (enacted 3/3/2015)	18	South								POINT (-122.42057 37.789116)	50	50	4	3	21
778	GOLDEN GATE AVE	Parker	SE corner of intersection	0	S		442-25370	20110324000000					POINT (-122.45296 37.77681)	12	12	7	4	18
557				0									POINT (-122.40971 37.7819)	32	32	5	10	34
726	Potrero Ave & 15th Street	15th Street	from 10 feet to 30 feet south of 15th Street (enacted 1/19/2016)	20	W								POINT (-122.4078 37.76689)	53	53	3	9	20
195	750 26th Ave	Cabrillo	From south property line 22' north	22	E								POINT (-122.48533 37.775303)	8	8	8	4	29
123	100  Union St	Battery	160' to 182' east	22	N								POINT (-122.4017 37.801495)	77	77	6	3	8
174	47 MISSION ST	Spear	NE side of intersection	0	SE		568-00470	20110414000000					POINT (-122.393745 37.792664)	108	108	1	10	8
548	3997 24th St	Noe	1' west of Noe to 18' east of Noe	19	S	poor		19920409000000					POINT (-122.431656 37.75138)	84	84	3	5	22
58	726 Clement St	9th Ave	12' to 30' east of 9th Ave	18	N	poor		19920417000000					POINT (-122.46749 37.782875)	5	5	8	4	11
17	south of Market	Market	19 to 31 south of Market	12	E								POINT (-122.395386 37.793705)	108	108	6	10	8
757	1299 Battery St	Greenwich	south of Greenwich 1 parking place	22	E								POINT (-122.40201 37.803043)	77	77	6	3	8
217				0									POINT (-122.45421 37.771637)	9	9	7	4	12
140	1899 Fillmore St	Bush	12' to 34' south of Bush	22	W	good		19950316000000					POINT (-122.43347 37.78682)	103	103	4	11	30
880	Irving Street	24th Ave	north side, form 2 feet to 22 feet west of 24th Ave, removes meter #2302	20	north				20170307000000	170307-025			POINT (-122.48266 37.763393)	39	39	10	7	35
684				0									POINT (-122.429146 37.78498)	101	101	4	11	15
511	BERRY ST	4th St	SE corner of intersection	0	SE		339-01650	20110324000000					POINT (-122.392555 37.77629)	34	34	1	10	4
570	Elm Street & Van Ness Avenue	Van Ness Avenue	from 14 feet to 40 feet east of Van Ness Avenue (enacted 3/3/2015)	26	North								POINT (-122.42022 37.781567)	21	21	4	10	36
426	99 Vermont St	Alameda	0-18' north of Alameda	18	E								POINT (-122.404785 37.768677)	33	33	1	9	4
425	30 Van Ness Ave	Market	161' to 187' north of Market	26	E	good		19950701000000					POINT (-122.41924 37.775955)	21	21	4	10	36
360	Pine St. & Polk Street	Polk Street	from 22 feet to 47 feet west of Polk Street (enacted 3/3/2015)	25	North								POINT (-122.42085 37.789642)	105	105	4	3	21
385				0									POINT (-122.479256 37.720966)	42	42	10	8	16
406				0									POINT (-122.41591 37.783337)	20	20	5	10	36
895	1040 Palou Ave	Griffith St		9	north				20170606000000	170606-067			POINT (-122.38028 37.727997)	78	78	2	9	1
525	698 Columbus Ave	Filbert	19' to 37' south of Filbert	18	E	good		19951226000000					POINT (-122.41104 37.801014)	106	106	6	3	23
836				0									POINT (-122.46842 37.77255)	9	9	8	4	12
149	2 Francis	Mission	6' to 24' west of Mission	18	N	good		19960816000000					POINT (-122.4335 37.726715)	94	94	9	1	28
492				0									POINT (-122.42085 37.807495)	98	98	6	6	32
857				0									POINT (-122.41874 37.764935)	53	53	3	2	20
746	199 Howard St	Main	13' to 32' east of Main	19	S	good		19980824000000					POINT (-122.393135 37.790684)	108	108	1	10	8
163	5200 Geary Blvd	16th Ave	17' to 34' west of 16th Ave	17	N	good		19960607000000					POINT (-122.47528 37.780655)	5	5	8	4	29
600	24TH ST	Lilac	SE corner of intersection	0	S		901-00020	20110324000000					POINT (-122.41775 37.752167)	53	53	3	2	20
83	875 Pacific Av	Trenton	From Trenton Street to 18' west	18	S								POINT (-122.40933 37.79654)	104	104	6	3	6
390				0									POINT (-122.42421 37.776657)	22	22	4	11	9
906	700 Montgomery	Columbus Ave		26	East				20190507000000	190507-046		ESTABLISH BLUE ZONE, DISABLED PARKING ONLY, AT ALL TIMES -710 Montgomery Street, east side, from 16 feet to 36 feet north of crosswalk at Columbus Avenue	POINT (-122.40325 37.79565)	106	106	6	3	6
134	89 Hyde Street	Golden Gate	7-27' south of Golden Gate	20	W			19950115000000					POINT (-122.415535 37.781483)	21	21	5	10	36
310				0									POINT (-122.40004 37.800564)	77	77	6	3	8
817	399 Valencia	15th St	399 Valencia Street, east side, from 18 feet to 40 feet north of 15th Street	22	east								POINT (-122.42193 37.7667)	53	53	3	2	20
445	1301 Pierce St	Ellis	From the northwest corner 22' north	22	W								POINT (-122.43592 37.78224)	97	97	4	11	39
414	HERBST	Skyline	SE part of zoo	0	E		767-00080	20110324000000					POINT (-122.502235 37.7299)	43	43	10	8	16
860	Chestnut Street & Webster Street	Webster Street	from 25 feet to 45 feet west of Webster Street	20	N								POINT (-122.434814 37.801056)	17	17	4	6	13
487	597 Hayes Street	Laguna Street	from 6 feet to 26 feet east of Laguna Street (enacted 5/19/2015)	20	South								POINT (-122.426025 37.776432)	22	22	4	11	9
289				0									POINT (-122.433464 37.78611)	103	103	4	11	30
590	Grove			0									POINT (-122.42036 37.7781)	21	21	4	11	9
322				0									POINT (-122.479614 37.770496)	9	9	8	4	12
458	585 Post St	Taylor	80' to 98' east of Taylor	18	S	poor							POINT (-122.411285 37.787865)	50	50	6	3	36
480	Broadway & Larkin Street	Larkin Street	from Larkin Street to 26 feet westerly (enacted 3/3/2015)	26	North								POINT (-122.42028 37.796215)	105	105	4	3	32
168	1502 SCOTT ST	Geary	NE corner of intersection	0	E		652-15020	20110902000000					POINT (-122.43782 37.78399)	103	103	4	11	15
236				0									POINT (-122.42236 37.768867)	37	37	3	5	20
249				0									POINT (-122.4396 37.784508)	103	103	4	11	15
63	45 Leland Av	Desmond	7' to 27' east of Desmond	20	S	good		19960303000000					POINT (-122.40464 37.711494)	75	75	9	9	40
651				0									POINT (-122.38826 37.784546)	31	31	1	10	8
544	3600 23rd Ave	Guerrero	9-27'west of Guerrero	18	N			19940501000000					POINT (-122.423225 37.753597)	52	52	3	5	20
356	Eddy St. & Van Ness Avenue	Van Ness Ave	from 5 feet to 27 feet west of Van Ness Ave (enacted 9/15/2015)	22	South								POINT (-122.4211 37.782803)	100	100	4	11	39
478	Hemlock St. & Van Ness Avenue	Van Ness Ave	from 5 feet to 25 feet east of Van Ness Ave (enacted 9/15/2015)	20	South								POINT (-122.42136 37.787083)	50	50	4	3	21
797	6210 Geary Blvd	26th Ave	12' to 29' west of 26th Ave	17	N	good							POINT (-122.48598 37.780163)	8	8	8	4	29
205				0									POINT (-122.50301 37.7675)	9	9	8	4	12
430	2490 Washington St	Fillmore	8' to 30' east of Fillmore	22	S	good		19970527000000					POINT (-122.43416 37.79156)	102	102	4	6	30
523	Main Street & Folsom Street	Folsom Street	Main Street, west side, from 45’ to 65’ south of Folsom Street. (9/6/2016)	20	W								POINT (-122.39161 37.78908)	30	30	1	10	8
158	6599 Geary Blvd	30th Ave	0'-18' east of 30th Ave	18	S								POINT (-122.490135 37.779747)	8	8	8	4	29
468	Haight Street & Clayton Street	Clayton Street	from 100 feet to 122 feet east of Clayton St (enacted 11/18/2014)	22	South								POINT (-122.448074 37.7698)	25	25	7	11	3
656				0									POINT (-122.47255 37.76884)	9	9	8	4	12
855	Polk Street & Pacfiic Avenue	Pacific Avenue	from 17 feet to 35 feet south of Pacific Avenue (enacted 3/3/2015)	18	West								POINT (-122.421616 37.79478)	105	105	4	3	32
153	199 Fremont St	Howard	8'-30' north of Howard	22	E								POINT (-122.39521 37.789387)	32	32	1	10	8
292				0									POINT (-122.42354 37.806313)	98	98	6	6	32
116	2370 Sutter St	Divisadero	91' to 109' east of Divisadero	18	N	good		19950502000000					POINT (-122.439415 37.785355)	103	103	4	6	30
529	402 Moultrie	Cortland	0' to 18' south of Cortland	18	W	good		19980205000000					POINT (-122.41583 37.73887)	83	83	9	2	2
711	Fillmore Street and Moulton Street	Moulton Street	from 4 feet to 28 feet south of Moulton St (enacted 3/15/2016)	24	W								POINT (-122.43601 37.799324)	15	15	4	6	13
674	1142 Van Ness Av	Cedar	3' to 22' north of Cedar	19	E	good							POINT (-122.421326 37.78629)	50	50	4	3	36
762				0									POINT (-122.46166 37.77179)	9	9	7	4	12
319				0									POINT (-122.42745 37.79817)	15	15	4	6	13
840		Chestnut St	Pierce St Garage - metered spaces	0			916-00020						POINT (-122.439255 37.800186)	17	17	4	6	13
750	750 Douglass St	Elizabeth	11'-29' south of Elizabeth	18	W			19940301000000					POINT (-122.43858 37.75167)	51	51	3	5	22
179	890 Beach St	Polk	24' to 68' east of the cross walk at Polk	50	N								POINT (-122.423615 37.806305)	98	98	6	6	32
843	15 West Portal Av	Ulloa	From the north property line 14' north	14	E			19951011000000					POINT (-122.465866 37.74063)	46	46	10	8	41
610	Ellis St. & Polk Street	Polk Street	from 5 feet to 27 feet east of Polk Street (enacted 3/3/2015)	22	South								POINT (-122.41919 37.783997)	20	20	5	10	36
87	35 Gough Street	Stevenson	0-20' north of Stevenson	20	W								POINT (-122.42182 37.772823)	32	32	1	10	20
100	75 Hawthorne St	Folsom	From the south property line to 40' north	40	E								POINT (-122.3983 37.78512)	32	32	1	10	8
874	2375 Polk Street	Union Street	west side, from 13 feet to 35 feet south of Union Street, replacing metered stall #2335	22	W				20170307000000	170307-025			POINT (-122.422386 37.79861)	105	105	4	3	32
394				0									POINT (-122.406685 37.768227)	33	33	3	9	20
572	900 Jessie St	10th St	From 10th St to 50' west (curbqual good)	50	N	REMOVED		19920507000000					POINT (-122.41641 37.775887)	32	32	5	10	34
910	400 Parnassus Ave	Hillway							20190416000000	190416-038		ESTABLISH – BLUE ZONE, DISABLED PARKING ONLY, AT ALL TIMES – 400 Parnassus Street, north side, from 216 feet to 238 feet west of Hillway Avenue	POINT (-122.45754 37.763657)	110	110	7	11	14
301				0									POINT (-122.388504 37.789272)	30	30	1	10	8
596	DIAMOND HEIGHTS BLVD	Safira	NE corner of intersection	0	E		775-51610	20110324000000					POINT (-122.44003 37.746655)	57	57	3	5	22
645				0									POINT (-122.41999 37.77966)	21	21	4	10	36
54	1000 Cayuga Av	Balhi	From the northside of exsting white zone 25' north	25									POINT (-122.44018 37.721504)	80	80	9	1	28
691	701 38th Ave	Balboa Street	from 5 feet to 23 feet south of Balboa Street, replacing meter #701 (enacted 6/24/2014)	18	West		138-07010						POINT (-122.49844 37.775513)	8	8	8	4	29
867	53 Christmas Treet Point Rd	Twin Peaks Blvd		8	north								POINT (-122.44703 37.754253)	47	47	7	5	38
484	Harrison St. & 2nd Street	2nd Street	from 40 feet to 60 feet west of 2nd Street (enacted 8/18/2015)	20	North								POINT (-122.39539 37.784245)	32	32	1	10	8
462	1179 Powell St	Jackson	49' to 69' south of Jackson	20	W								POINT (-122.40993 37.795372)	16	16	6	3	6
825	1 Peter Yorke Way	Geary Blve	Peter Yorke Way, east side, from 8 feet to 26 feet north of Geary Boulevard (rescinds metered parking space #43	18	EAST		43		20180904000000	180904-122		ESTABLISH – BLUE ZONE –  ; Peter Yorke Way, east side, from 8 feet to 26 feet north of Geary Boulevard (rescinds metered parking space #43	POINT (-122.42426 37.785538)	100	100	4	6	39
517	1600 Palou Ave.	3rd Street	from 20 feet to 40 feet west of 3rd Street (enacted 11/4/2014)	20	North								POINT (-122.39122 37.73424)	87	87	2	9	1
782	200 Drumm	Washington Street	from 20 feet to 42 feet south of Washington Street (enacted 4/1/2014)	22	West								POINT (-122.39702 37.79615)	108	108	6	3	8
37	1656 15th St	Julian	15' to 37' west of Julian	22	N	good							POINT (-122.42127 37.76663)	53	53	3	2	20
232				0									POINT (-122.41947 37.77117)	32	32	1	10	20
278	Grove			0									POINT (-122.416336 37.778606)	21	21	5	10	36
585	3252 Pierce St	Chestnut	replace meter Mar. G1#1-8 (5 blue spaces)	10	E		607-32240	19940501000000					POINT (-122.439384 37.800076)	17	17	4	6	13
457	390 Post St	Powell	28' to 50' east of Powell	22	N	good							POINT (-122.408134 37.788372)	19	19	6	3	8
68	80 McAllister St	7th St. North	4' to 23' west of 7th Street North	19	N	good		19970603000000					POINT (-122.41302 37.781067)	20	20	5	10	36
905	1195 York St	24th St							20190507000000	190507-046		ESTABLISH BLUE ZONE, DISABLED PARKING ONLY, AT ALL TIMES - 1195 York Street, east side, from 2 feet to 22 feet north of 24th Street, replacing metered stall #1197	POINT (-122.408134 37.7529)	53	53	3	2	20
343				0									POINT (-122.46815 37.772434)	9	9	8	4	12
237				0									POINT (-122.4167 37.779835)	21	21	5	10	36
556				0									POINT (-122.44653 37.754833)	47	47	7	5	38
361	Broadway St. & Van Ness Avenue	Van Ness Ave	from Van Ness Ave to 18 feet westerly (enacted 9/15/2015)	18	North								POINT (-122.423706 37.79578)	102	102	4	6	30
264	301 Spear St	Folsom	Folsom to 22' south	22	E								POINT (-122.39069 37.790154)	30	30	1	10	8
697	San Bruno Avenue and 16th Street	16th Street	from 18 feet to 38 feet north of 16th Street (enacted 1/19/2016)	20	E								POINT (-122.40551 37.7661)	33	33	3	9	20
209				0									POINT (-122.49534 37.770023)	9	9	8	4	12
472	Ellis St. & Cyril Magnin Street	Cyril Magnin Street	from Cyril Magnin Street to 18 feet easterly (enacted 6/16/2015)	18	South								POINT (-122.40856 37.78539)	19	19	5	3	36
331				0									POINT (-122.45917 37.77139)	9	9	7	4	12
495				0									POINT (-122.46599 37.77331)	9	9	8	4	12
5	8th St	Irwin	5' to 23' north of Irwin	18	E	good							POINT (-122.39967 37.766808)	33	33	1	9	4
921	"""601"" 6th Street"	Towsend Street	6th Street, east side, from 30 feet to 50 feet northerly (removes one metered space at meter #206-06621)	20	east				20180116000000	180116-002			POINT (-122.39959 37.773815)	32	32	1	10	4
184	902 Brannan St	8th St	11' to 33' west of 8th St	22	N								POINT (-122.405655 37.77122)	33	33	1	10	34
828				0									POINT (-122.47374 37.743214)	44	44	10	8	41
837	11th St. & Folsom Street	Folsom Street	from 5 feet to 30 feet north of Folsom Street (enacted 10/7/2014)	25	East								POINT (-122.41408 37.772)	32	32	1	10	34
678	491 Polk St	Golden Gate	10' to 52' south of Golden Gate	42	W	good		19980313000000					POINT (-122.41884 37.781094)	21	21	4	10	36
551				0									POINT (-122.49376 37.770195)	9	9	8	4	12
64	798 Lincoln Way	9th Ave	10' to 32' east of 9th Ave	22									POINT (-122.46623 37.766018)	9	9	10	11	12
120	1 Teresita	Portola	8' to 26' south of Portola	18	W	good		19961114000000					POINT (-122.4521 37.74492)	72	72	9	8	41
767	100 Hawthorne	Folsom	5' to 25' south of Folsom	20	W	good		19960327000000					POINT (-122.3977 37.784504)	32	32	1	10	8
892	Innes Court	Coleman Avenue	Innes Court, east terminus, at 450 east of Coleman Avenue.		east				20170620000000	170620-076			POINT (-122.36704 37.727077)	78	78	2	9	1
792	500 Cortland	Andover	6' to 26' east of Andover	20	S	good		19960229000000					POINT (-122.41626 37.73898)	83	83	9	2	2
201				0									POINT (-122.503044 37.770985)	9	9	8	4	12
505				0									POINT (-122.44345 37.803394)	17	17	4	6	13
315				0									POINT (-122.40677 37.805458)	18	18	6	3	23
707	3 Daggett Street	7th Street	“3” Daggett Street, south side, from 19 feet to 39 feet west of 7th Street (20-foot zone). (enacted 9/6/2016)	20	S								POINT (-122.39588 37.76704)	33	33	1	9	4
186	1600 Bryant St	15th St	7' to 27' south of 15th St	20	W								POINT (-122.41067 37.766735)	53	53	3	2	20
727	801 Moscow St.	Italy Ave	0 to 18 ' north of south crosswalk (enacted 2/18/2014)	18	East								POINT (-122.43226 37.715023)	90	90	9	1	7
19	50 Herbst Rd	Skyline	10' diag space north of the south entrance of zoo	40	W								POINT (-122.50139 37.730686)	43	43	10	8	16
91	250 Grove St	Van Ness	89' to 170' west of Van Ness	81	S	good		19920410000000					POINT (-122.42057 37.778072)	21	21	4	11	9
660				0									POINT (-122.47004 37.769295)	9	9	8	4	12
847				0									POINT (-122.470314 37.76928)	9	9	8	4	12
703	Capp Street & 16th Street	16th Street	from 18 feet to 38 feet north of 16th Street (enacted 1/19/2016)	20	E								POINT (-122.418526 37.76535)	53	53	3	2	20
96	1545 Haight St	Clayton	5' to 23' east of Clayton	18	S								POINT (-122.448364 37.769756)	25	25	7	11	3
302				0									POINT (-122.38941 37.78629)	31	31	1	10	8
694	MOSCOW ST	Italy	SE corner of intersection	0	E		780-07950	20110324000000					POINT (-122.432274 37.714993)	90	90	9	1	7
500				0									POINT (-122.466194 37.772686)	9	9	8	4	12
33	1301 10th Ave	Irving	6' to 26' south of Irving	20	W	good		19960724000000					POINT (-122.46743 37.763863)	109	109	10	11	14
914	99 Grace St	Howard	Howard to 25' north	25	E								POINT (-122.41401 37.774483)	32	32	1	10	34
900	698 18th Avenue	Cabrillo	BLUE ZONE, DISABLED PARKING ONLY, AT ALL TIMES “698” 18th Avenue, east side, from 1 foot to 21 feet north of Cabrillo Street.	20	E				20171205000000	171205-163		L. ESTABLISH – BLUE ZONE, DISABLED PARKING ONLY, AT ALL TIMES “698” 18th Avenue, east side, from 1 foot to 21 feet north of Cabrillo Street.	POINT (-122.476776 37.774822)	5	5	8	4	29
438	1706 Yosemite St	Lane	0-18' west of Lane St	18	S								POINT (-122.3936 37.728077)	86	86	2	9	1
735	4 10th St	Market	7' to 35' south of Market	28	W	good		19950425000000					POINT (-122.41743 37.77637)	32	32	5	10	34
228				0									POINT (-122.45784 37.766735)	9	9	7	11	12
366	Parnassus Ave & 3rd Avenue	3rd Avenue	from 377 feet to 451 feet east of 3rd Avenue (enacted 9/1/2015)	74	South								POINT (-122.45837 37.7633)	110	110	7	8	14
50	1100 California St	Taylor	5' to 27' west of Taylor	22	N	good		19970519000000					POINT (-122.412636 37.79168)	16	16	6	3	21
167	447 MCALLISTER ST	Van Ness	SE corner of intersection	0	S		563-04470	20110411000000					POINT (-122.41969 37.780018)	21	21	4	10	36
740	154 McAllister St	Hyde	98' to 120' east of Hyde	22	N	good		19920526000000					POINT (-122.41487 37.780834)	21	21	5	10	36
632				0									POINT (-122.45428 37.772045)	9	9	7	4	12
336				0									POINT (-122.468636 37.769077)	9	9	8	4	12
241				0									POINT (-122.44763 37.773884)	24	24	7	11	18
415	EDDY ST	Gough	SE corner of intersection	0	S		400-09390	20110324000000					POINT (-122.42384 37.782448)	100	100	4	11	39
561				0									POINT (-122.40672 37.770134)	33	33	1	10	34
617	Washington St. & Battery Street	Battery Street	Washington Street, south side, from Battery Street to 24 feet westerly (enacted 9/2/2014)	24	South								POINT (-122.40069 37.79577)	108	108	6	3	6
282				0									POINT (-122.39825 37.78508)	32	32	1	10	8
437	399 Willow St	Gough	20' to 42' east of Gough on Willow	22									POINT (-122.42409 37.782845)	100	100	4	11	39
766	McAllister Street & Charles J Brenham Place	Charles J Brenham Place	from 19 feet to 38 feet east of Charles J Brenham Place (enacted 6/16/2015)	19	South								POINT (-122.41287 37.780975)	20	20	5	10	36
618	Bay Street & Webster Street	Webster Street	from 29 feet to 54 feet east of Webster Street (enacted 11/5/2013)	25	south								POINT (-122.434685 37.80279)	17	17	4	6	13
125	2095 Union St	Webster	12' to 30' east of Webster	18	S	fair		19920428000000					POINT (-122.43362 37.79726)	15	15	4	6	13
452	799 Polk St	Ellis	3' to 26' south of Ellis	23	W	good		19960605000000					POINT (-122.4194 37.783855)	20	20	4	10	36
719	300 Folsom	Fremont Street	from 12 feet to 31 feet east of Fremont Street (enacted 4/1/2014)	19	South								POINT (-122.393456 37.788002)	30	30	1	10	8
191	1351 24th Ave	Judah	17' to 39' north of the south property line	22	W								POINT (-122.48246 37.762245)	39	39	10	7	35
536	333 Turk St	Leavenworth	6' to 28' east of the west property line	22	S								POINT (-122.41425 37.782703)	20	20	5	10	36
575	1 Henry Adams Street	Alameda Street	from 36 feet to 64 feet north of Alameda Street (enacted 10/20/2015)	28	East								POINT (-122.40383 37.768803)	33	33	1	9	4
213				0									POINT (-122.454254 37.771954)	9	9	7	4	12
887	1309 26th Avenue	Irving Street	west side, from 10 to 32 feet south of Irving (removes meter #1301)	22	w		1301		20170307000000	170307-025			POINT (-122.48465 37.763123)	39	39	10	7	35
13	60 Palace Dr	Lyon	Angled Parking at west entrance	24									POINT (-122.44945 37.8026)	17	17	4	6	13
379				0									POINT (-122.42108 37.74409)	83	83	9	2	2
260	1308 Sansome St	Filbert	By ramp that leads to Plaza	22	E								POINT (-122.40293 37.802406)	77	77	6	3	8
689	South Van Ness Avenue & 16th Street	16th Street	from 16th Street 20 feet northerly (enacted 1/19/2016)	20	E								POINT (-122.4174 37.76533)	53	53	3	2	20
515	BERRY ST	6th St	SE corner of intersection	0	E		339-04250	20110324000000					POINT (-122.39841 37.77169)	34	34	1	10	4
884	Fulton Street	Funston Ave	south side, from funston Ave to 20 feet easterly	20	south				20170307000000	170307-025			POINT (-122.47111 37.77308)	9	9	8	4	12
255	101 Redwood St	Polk	2' to 24' west of Polk	22	S	good		19920409000000					POINT (-122.41883 37.78104)	21	21	4	10	36
240				0									POINT (-122.41447 37.778625)	32	32	5	10	34
348				0									POINT (-122.46627 37.772682)	9	9	8	4	12
560				0									POINT (-122.4214 37.77274)	32	32	1	10	20
579	600 Harrison	Hawthorne Street	from 12 feet to 34 feet west of Hawthorne Street (enacted 4/1/2014)	22	North								POINT (-122.39646 37.78342)	32	32	1	10	8
858		Chestnut St	Pierce St Garage - metered spaces	0			916-00050						POINT (-122.4391 37.80021)	17	17	4	6	13
196	1750 29th Ave	Noriega	7' to 33' south of the north property line	26	E	good		19951023000000					POINT (-122.487114 37.754684)	39	39	10	7	35
365	Fell St. & Van Ness Avenue	Van Ness Ave	from 20 feet to 41 feet west of Van Ness Ave (enacted 9/15/2015)	21	North								POINT (-122.419876 37.77639)	21	21	4	11	9
124	1900 Union St	Laguna	11' to 31' west of Laguna	20	N	fair		19920428000000					POINT (-122.43075 37.79775)	15	15	4	6	13
720	17th Street	Hampshire St	From Hampshire st. to 18 ft. Westerly (enacted 3/4/2014, relocated)	18									POINT (-122.4086 37.76447)	53	53	3	9	20
18	16 Taylor St	Golden Gate	15' to 49' north of Golden Gate	34	E								POINT (-122.410515 37.782448)	20	20	5	10	36
547	2098 22nd Ave	Quintara	north of Quintara	20	E			19941114000000					POINT (-122.479225 37.74867)	39	39	10	7	35
725	799 Moscow Street	Italy	0-26' north of Italy ?	0				19940501000000					POINT (-122.432236 37.715046)	90	90	9	1	7
