permit_number	streetname	Cross Street 1	Cross Street 2	Permit Type	Agent	AgentPhone	Permit Purpose	Approved Date	Status	cnn	permit_zipcode	permit_start_date	permit_end_date	permit_address	24/7 Contact	Inspector	CurbRampWork	X	Y	Latitude	Longitude	Location
16IE-0535	OAK ST	VAN NESS AVE	FRANKLIN ST	StrtImprov	DeHaro Ramirez Group - Concrete Contractors	415-552-3504	Remove and reconstruct new (13') driveway curb cut and sidewalk per approved plan, saw-cut 2’ of AC gutter and replace with 2” ACWS over 8” concrete base.  Additional paving as required and directed by DPW/BSM inspector. Field inspection is MANDATORY prior to excavation and pouring concrete, Call 554-7149 to schedule.	08/24/2021	ACTIVE	9750000	94102		09/15/2022	1554 MARKET ST	Refer to Agent	Mario Novoa		6006729.83441	2110248.50292	37.77472057573646	-122.4201818473821	(37.77472057573646, -122.4201818473821)
22EXC-01253	HOLLOWAY AVE	MONTICELLO ST	BEVERLY ST	Excavation	Pacific Gas & Electric	415-695-3500	PM 35194064 // R3 G GPRP RPL GARFIELD & MONTICELLO SF	03/10/2022	ACTIVE	6988000	94132	04/11/2022	12/30/2022		4156953500	Jonjo Diase		5991572.90329	2091229.72206	37.721634240098005	-122.4712263072384	(37.721634240098005, -122.4712263072384)
20EXC-02290	CASTRO ST	20TH ST	LIBERTY ST	Excavation	Cratus, Inc.	(415)939-2840	Pavement Renovation, Sewer Replacement and Water Main Replacement on Castro Street and 26th Street Contract No. WD-2739	07/23/2020	ACTIVE	3793000	94114	08/10/2020	08/10/2022		(800)850-1874			6002415.10957	2103988.00194	37.75728671037789	-122.43465957953995	(37.75728671037789, -122.43465957953995)
17IE-0065	BROADWAY	OCTAVIA ST	LAGUNA ST	StrtImprov	Jules Mancilla	415-602-0464	Street improvement permit	11/22/2017	ACTIVE	3174000	94109			1973 BROADWAY	415-602-0464	Mario Novoa		6004187.66495	2117620.46389	37.79481856818783	-122.42950157380268	(37.79481856818783, -122.42950157380268)
01IE-126	SANCHEZ ST	22ND ST	ALVARADO ST	StrtImprov	Mock/Wallace Architects	415-626-6868	Rebuild sidewalk to accommodate new driveway and garage.	03/28/2001	ACTIVE	11525000	94114			919 SANCHEZ ST		O'Brian Buchanan		6003813.85599	2102913.05236	37.75441446138972	-122.42974549903713	(37.75441446138972, -122.42974549903713)
22EXC-02865	BRIDGEVIEW DR	TOPEKA AVE	SCOTIA AVE \ THORNTON AVE	Excavation	MODUS, INC	(510) 914-1574	CA_SF_POTRERO_HILLS_039 Verizon 175 SCOTIA AVE	06/16/2022	APPROVED	3125000	94124	06/22/2022	07/20/2022		415-981-1102	Rich Rozzi		6012644.148	2094771.302	37.73255502837568	-122.39863655636084	(37.73255502837568, -122.39863655636084)
22EXC-02971	HYDE ST	BAY ST	BERGEN ALY	Excavation	Pacific Gas & Electric	707-718-0296	705 Bergen alley	06/16/2022	APPROVED	7149000	94109	08/15/2022	09/12/2022		415-695-3500	Marc Anthony Bura		6006943.9769	2121276.76522	37.80501352222656	-122.42022395465563	(37.80501352222656, -122.42022395465563)
22EXC-02949	MARKET ST	07TH ST \ CHARLES J BRENHAM PL	08TH ST \ GROVE ST \ HYDE ST	Excavation	Pacific Gas & Electric	(628) 241-8117	Better Market St - Loc 2-3 - Market at Charles J Brenham	06/16/2022	APPROVED	8751201	94102	07/11/2022	09/10/2022		415-695-3500	Marc Anthony Bura		6008650.235	2111996.105	37.779627110563474	-122.41366240269727	(37.779627110563474, -122.41366240269727)
22TE-00031	MONCADA WAY	MONCADA WAY	MONCADA WAY	TankRemove	Golden Gate Tank Removal	4155121555	Remove existing UST	06/17/2022	ACTIVE	9237000	94127	06/21/2022	07/21/2022	244 MONCADA WAY	415-512-1555	Anthony Alonzo		5992400.61536	2093495.81234	37.727904209702494	-122.46852994588342	(37.727904209702494, -122.46852994588342)
22EXC-02812	YORK ST	PERALTA AVE	MONTCALM ST	Excavation	Pacific Gas & Electric	707-718-0296	76 Montcalm St	06/08/2022	APPROVED	13777000	94110	06/24/2022	07/22/2022		415-695-3500			6010483.73991	2100169.15541	37.74725575898415	-122.40648587001596	(37.74725575898415, -122.40648587001596)
18IE-1046	STEVENSON ST	06TH ST	07TH ST \ ODD FELLOWS WAY	StrtImprov	Berkeley Cement Inc.	4158850362	Remove and replace sidewalk concrete, curb, and gutter, as well as install one (1) new ADA curb ramps per the approved plan dated 6/7/22 and as directed by the Public Works inspector. Note: Sidewalk constructed at the end of the Jessie St alley is within the property bounds.  Curb ramp along Mission Street frontage will be constructed in front of 1036 Mission Street under Permit No. 22IE-00188.	06/07/2022	APPROVED	12171000	94103		02/03/2023	1064 MISSION ST	415-355-7111	Eric Walker		6009654.8447	2112066.66846	37.78047859829088	-122.41037971056667	(37.78047859829088, -122.41037971056667)
16IE-0535	MARKET ST	SOUTH VAN NESS AVE \ VAN NESS AVE	12TH ST \ PAGE ST	StrtImprov	DeHaro Ramirez Group - Concrete Contractors	415-552-3504	Remove and reconstruct new (13') driveway curb cut and sidewalk per approved plan, saw-cut 2’ of AC gutter and replace with 2” ACWS over 8” concrete base.  Additional paving as required and directed by DPW/BSM inspector. Field inspection is MANDATORY prior to excavation and pouring concrete, Call 554-7149 to schedule.	08/24/2021	ACTIVE	8755201	94102		09/15/2022	1554 MARKET ST	Refer to Agent	Mario Novoa		6006729.83441	2110248.50292	37.77472057573646	-122.4201818473821	(37.77472057573646, -122.4201818473821)
22EXC-02956	IRVING ST	48TH AVE	LA PLAYA	Excavation	Pacific Gas & Electric	(628) 241-8117	4724 Irving at 48th Ave	06/16/2022	APPROVED	7326000	94122	06/28/2022	07/26/2022		415-695-3500	Rich Rozzi		5981043.84958	2106215.59132	37.76216660412634	-122.50873382696189	(37.76216660412634, -122.50873382696189)
22EXC-02863	CASELLI AVE	DOUGLASS ST	CLOVER LN	Excavation	Pacific Gas & Electric	415-695-3500	61 Caselli Ave // PM 44624959	06/16/2022	APPROVED	3754000	94114	06/27/2022	07/25/2022		4156953330			6000842.49382	2104917.57449	37.759749686095276	-122.4401649448528	(37.759749686095276, -122.4401649448528)
22D-00012	CLEMENT ST	06TH AVE	07TH AVE	Display	Green Apple Books	(415) 387-3021	Display Books	02/01/2022	APPROVED	4155000	94118	01/16/2022	01/15/2023	506 CLEMENT ST	Refer to Agent			5993931.46312	2113562.16638	37.783089562198995	-122.46469434064713	(37.783089562198995, -122.46469434064713)
18IE-1033	FREDERICK ST	SHRADER ST	STANYAN ST	StrtImprov	Amber-Tru Construction	(415) 756-1502	curb ramps, curb, sidewalk and street roadway reconstruction for both frontages.	10/19/2021	ACTIVE	5853000	94117		07/01/2022	858 STANYAN ST	Refer to Agent	O'Brian Buchanan		5997236.41737	2107462.93336	37.766532634359116	-122.45282023564414	(37.766532634359116, -122.45282023564414)
22EXC-02880	MCKINNON AVE	03RD ST	NEWHALL ST	Excavation	Bureau of Street & Sewer Repair		1649 McKinnon	06/15/2022	ACTIVE	8924000	94124	06/14/2022	07/08/2022	1649 MCKINNON AVE	DPW radio room 415-695-2134	Ildefonso Viray		6014947.15163	2096185.02776	37.736564858945805	-122.39077321564555	(37.736564858945805, -122.39077321564555)
21WR-00076	PAGE ST	BUCHANAN ST	WEBSTER ST	Wireless	MODUS, INC	415-475-8001		12/07/2021	APPROVED	10173000	94102	12/07/2021	09/30/2032	434 PAGE ST	Refer to Agent			6004466.90521	2109856.38428	37.77351614794777	-122.42798183298274	(37.77351614794777, -122.42798183298274)
22TOC-03517	LEAVENWORTH ST	CLAY ST	WASHINGTON ST	TempOccup	Douglas Yee	415-310-5830		06/13/2022	APPROVED	8252000	94109	06/14/2022	06/27/2022	1352 LEAVENWORTH ST	415-310-5830			6008056.8345	2117109.54892	37.793634029545125	-122.41607746979355	(37.793634029545125, -122.41607746979355)
22TOC-03605	03RD ST	BRANNAN ST	TOWNSEND ST	TempOccup	Excellent Window Cleaning, Inc,	415.459.5141		06/16/2022	APPROVED	179000	94107	07/02/2022	07/02/2022	200 TOWNSEND ST	415.459.5141			6014589.85576	2111577.42119	37.77880922847862	-122.393085226831	(37.77880922847862, -122.393085226831)
22E-00361	CASTRO ST	ALVARADO ST	23RD ST	ExcStreet	Atlas Plumbing and Rooter	6508719863	Trenching in the sidewalk to replace sewer.	05/27/2022	ACTIVE	3798000	94114	06/28/2022	07/01/2022	1007 CASTRO ST	650-871-9863	O'Brian Buchanan		6002545.53142	2102584.14226	37.75343945048684	-122.4341081765287	(37.75343945048684, -122.4341081765287)
22TE-00029	BUSH ST	VAN NESS AVE	FRANKLIN ST	TankRemove	JML Engineering & Construction, Inc.	415-488-7422	Remove existing UST.	06/13/2022	APPROVED	3445000	94109	06/13/2022	07/01/2022	1565 BUSH ST	JML Engineering & Construction, Inc. 510-268-1200	Mario Novoa		6006017.60945	2115183.15151	37.78822975668461	-122.42299638657757	(37.78822975668461, -122.42299638657757)
20MSE-00217	CALIFORNIA ST	SCOTT ST	DIVISADERO ST	MinorEnc	mike larkin architecture	415 621 4204	The existing front stairs of the 110 year old house encroach. These stairs project approximately 3' into sidewalk space.	04/14/2020	ACTIVE	3561000	94115			2731 CALIFORNIA ST	Refer to Agent	Mario Novoa		6001145.40037	2115186.0813	37.78796166749548	-122.43985358315484	(37.78796166749548, -122.43985358315484)
21EXC-04653	PROSPECT AVE	EUGENIA AVE	KINGSTON ST	Excavation	Cratus, Inc.	(415)939-2840	8-Inch DIP and 24-Inch ERDIP Water Main Installation On Prospect, Fair And Coso Avenues, And Coleridge Street (WD-2718)	02/14/2022	APPROVED	10789000	94110	02/28/2022	11/24/2023		(800)850-1874	Rich Rozzi		6006469.35149	2098049.5684	37.74121045259554	-122.42021694120447	(37.74121045259554, -122.42021694120447)
22E-00362	GROVE ST	BAKER ST	LYON ST	ExcStreet	THE ENGLANDER BUILDING CO	415-383-4000	Trenching in the sidewalk to install new fire sprinkler service.	05/31/2022	ACTIVE	6566000	94117	06/09/2022	07/06/2022	1558 GROVE ST	415-710-7843	O'Brian Buchanan		6000319.36921	2110655.98635	37.775476135680925	-122.44238614369529	(37.775476135680925, -122.44238614369529)
22EXC-02247	BRYANT ST	DIVISION ST	ALAMEDA ST	Excavation	Pacific Bell Telephone Company	916 747-2400	H870M, 1320 BRYANT ST	05/24/2022	ACTIVE	3302000	94103	05/30/2022	06/27/2022		ENRIQUE TOSCANO - (415) 330-1794	Rich Rozzi		6009403.46497	2107970.37385	37.76861564796381	-122.41077225580806	(37.76861564796381, -122.41077225580806)
22TOC-03372	GARCES DR	ARBALLO DR	VIDAL DR	TempOccup	Rockridge Geotechnical	510-420-5738		06/08/2022	APPROVED	5997000	94132	06/30/2022	07/01/2022		916-719-9039			5987871.02	2089353.15	37.7162668359091	-122.48388504081589	(37.7162668359091, -122.48388504081589)
22EXC-02759	WHITTIER ST	CRESCIO CT	BRUNSWICK ST	Excavation	Pacific Gas & Electric	415-695-3500	GPRP Lowell - Brunswick	06/01/2022	ACTIVE	13622000	94112	06/06/2022	07/04/2022		4156953500	Jonjo Diase		5998257.26931	2086590.20352	37.7092795688221	-122.44778649850008	(37.7092795688221, -122.44778649850008)
22EXC-00778	SUMMIT ST	MARGARET AVE	JOSIAH AVE \ MONTANA ST	Excavation	Pavement Coatings Co	916-642-1751	PW AS NEEDED PAVEMENT PRESERVATION CONTRACT 4B(GENERAL AS NEEDED CONTRACT G18 1000016821- 1212I	03/10/2022	APPROVED	12248000	94112	04/14/2022	10/14/2022		CABO MONTEJANO 916-500-3159	Ben Volberding		5996536.03788	2089252.82445	37.71649197983952	-122.45392747531218	(37.71649197983952, -122.45392747531218)
22EXC-03046	ENCANTO AVE	ANZAVISTA AVE	TERRA VISTA AVE	Excavation	Pacific Gas & Electric	415-695-3500	Anza Vista - GPRP - 35095323	06/22/2022	APPROVED	5229000	94115	08/13/2022	11/18/2022		415-695-3500	Jondelle Bretz		6000011.343	2112487.597	37.78048772179582	-122.44358328227788	(37.78048772179582, -122.44358328227788)
21EXC-05019	HIMMELMANN PL	BROADWAY	PACIFIC AVE	Excavation	R & S Construction Management Inc	(415) 746-9564	#1000015027 PW Various Locations Pavement Renovation and Sewer Replacement No. 51	11/19/2021	ACTIVE	6932000	94133	11/29/2021	12/31/2022		415-746-9564			6008998.60993	2118187.56605	37.79664690606958	-122.4128950893825	(37.79664690606958, -122.4128950893825)
18IE-1033	STANYAN ST	BEULAH ST	FREDERICK ST	StrtImprov	Amber-Tru Construction	(415) 756-1502	curb ramps, curb, sidewalk and street roadway reconstruction for both frontages.	10/19/2021	ACTIVE	12093000	94117		07/01/2022	858 STANYAN ST	Refer to Agent	O'Brian Buchanan		5997236.41737	2107462.93336	37.766532634359116	-122.45282023564414	(37.766532634359116, -122.45282023564414)
16WR-0204	VALLEJO ST	SANSOME ST	PRESCOTT CT	Wireless	ExteNet Systems, Inc.	925-963-9204		11/14/2016	APPROVED	13084000	94133	11/14/2016	08/31/2027	334 VALLEJO ST	Refer to Agent			6011853.7592	2119145.23611	37.79943628707876	-122.40308297170321	(37.79943628707876, -122.40308297170321)
22EXC-01253	GARFIELD ST	BYXBEE ST	MONTICELLO ST	Excavation	Pacific Gas & Electric	415-695-3500	PM 35194064 // R3 G GPRP RPL GARFIELD & MONTICELLO SF	03/10/2022	ACTIVE	6013000	94132	04/11/2022	12/30/2022		4156953500	Jonjo Diase		5991824.92658	2090501.47047	37.719649214614265	-122.47030213100678	(37.719649214614265, -122.47030213100678)
22EXC-02726	15TH ST	CASTRO ST	BEAVER ST	Excavation	A. Ruiz Construction Co.	4159302555	WD-2868R 2356 15TH ST	05/31/2022	ACTIVE	666000	94114	06/06/2022	07/01/2022	2356 15TH ST	415-930-2555	Alejandro DelCalvo		6001962.73961	2107088.25235	37.76577355223745	-122.43644593596373	(37.76577355223745, -122.43644593596373)
22EXC-02058	PINE ST	TOUCHARD ST	LEAVENWORTH ST	Excavation	Bay Area Lightworks	415-822-2336	27 BRYANT TRANSIT RELIABILITY PROJECT, SOURCING EVENT ID NO. 0000005624	05/17/2022	APPROVED	10473000	94109	05/20/2022	05/19/2023		415-822-2336	Mario Hernandez		6008364.37345	2115901.57238	37.7903345087529	-122.41492781906747	(37.7903345087529, -122.41492781906747)
21EXC-05533	FULTON ST	CENTRAL AVE	MASONIC AVE	Excavation	JDB Construction, INC.	(415) 6083135	Fulton St & Grove St Pavement Restoration & Sewer Replacement project #1159I	12/22/2021	APPROVED	5895000	94117	01/03/2022	07/01/2022		Refer to Agent	Jesse Blea		5999386.65101	2110833.04272	37.77590908093778	-122.445625361606	(37.77590908093778, -122.445625361606)
22TOC-03712	CENTRAL AVE	HAIGHT ST	PAGE ST	TempOccup	West Coast Arborists, Inc.	714-412-7656		06/22/2022	APPROVED	3861000	94117	06/27/2022	06/28/2022		408-855-8660			5999892.74208	2108995.38825	37.77089222839116	-122.44374261695145	(37.77089222839116, -122.44374261695145)
22TC-00033	COLUMBUS AVE	FILBERT ST \ VIA BUFANO	GREENWICH ST \ SCOTLAND ST	TableChair	The Italian Homemade	(925) 286-2538	outside seating Tues-Sun 10am-8pm	03/11/2022	APPROVED	4298000	94133	04/16/2022	04/15/2023	716 COLUMBUS AVE	Refer to Agent			6009344.62511	2119998.9529	37.80163994335787	-122.41182585636739	(37.80163994335787, -122.41182585636739)
